Date,Country,Confirmed,Deaths,Recovered,Critical,Per1M
3/18/2020,Bahrain,256,1,95,3,150
3/19/2020,Bahrain,268,1,100,4,158
3/17/20,Bangladesh,14,1,3,0,0.06
3/18/2020,Bangladesh,14,1,3,0,0.09
3/18/2020,Bangladesh,14,1,3,0,0.09
3/19/2020,Bangladesh,18,1,3,0,0.1
3/17/20,Barbados,2,0,0,0,7
3/18/2020,Barbados,2,0,0,0,7
3/18/2020,Barbados,2,0,0,0,7
3/19/2020,Barbados,2,0,0,0,7
3/17/20,Belarus,51,0,3,0,4
3/18/2020,Belarus,51,0,5,0,5
3/18/2020,Belarus,51,0,5,0,5
3/19/2020,Belarus,51,0,5,0,5
3/17/20,Belgium,1486,14,14,33,107
3/18/2020,Belgium,1486,14,31,33,128
3/18/2020,Belgium,1486,14,31,33,128
3/19/2020,Belgium,1795,21,165,130,155
3/17/20,Benin,2,0,0,0,0.08
3/18/2020,Benin,2,0,0,0,0.2
3/18/2020,Benin,2,0,0,0,0.2
3/19/2020,Benin,2,0,0,0,0.2
3/18/2020,Bermuda,2,0,0,0,32
3/18/2020,Bermuda,2,0,0,0,32
3/19/2020,Bermuda,2,0,0,0,32
3/17/20,Bhutan,1,0,0,0,1
3/18/2020,Bhutan,1,0,0,0,1
3/18/2020,Bhutan,1,0,0,0,1
3/19/2020,Bhutan,1,0,0,0,1
3/17/20,Bolivia,12,0,0,0,1
3/18/2020,Bolivia,12,0,0,0,1
3/18/2020,Bolivia,12,0,0,0,1
3/19/2020,Bolivia,15,0,0,0,1
3/17/20,Bosnia and Herzegovina,39,0,2,0,10
3/18/2020,Bosnia and Herzegovina,39,0,2,0,12
3/18/2020,Bosnia and Herzegovina,39,0,2,0,12
3/19/2020,Bosnia and Herzegovina,49,0,2,0,15
3/17/20,Brazil,529,4,2,18,2
3/18/2020,Brazil,529,4,2,18,2
3/18/2020,Brazil,529,4,2,18,2
3/19/2020,Brazil,533,4,2,18,3
3/17/20,Brunei,68,0,0,1,128
3/18/2020,Brunei,68,0,0,2,155
3/18/2020,Brunei,68,0,0,2,155
3/19/2020,Brunei,73,0,0,2,167
3/17/20,Bulgaria,92,2,0,0,12
3/18/2020,Bulgaria,92,2,0,0,13
3/18/2020,Bulgaria,92,2,0,0,13
3/19/2020,Bulgaria,94,3,0,0,14
3/17/20,Burkina Faso,20,1,0,0,0.7
3/18/2020,Burkina Faso,27,1,0,0,1
3/18/2020,Burkina Faso,27,1,0,0,1
3/19/2020,Burkina Faso,33,1,0,0,2
3/17/20,Cambodia,37,0,1,0,2
3/18/2020,Cambodia,37,0,1,0,2
3/18/2020,Cambodia,37,0,1,0,2
3/19/2020,Cambodia,37,0,1,0,2
3/17/20,Cameroon,13,0,0,0,0.4
3/18/2020,Cameroon,13,0,0,0,0.5
3/18/2020,Cameroon,13,0,0,0,0.5
3/19/2020,Cameroon,13,0,0,0,0.5
3/17/20,Canada,727,9,12,1,16
3/18/2020,Canada,727,9,12,1,19
3/18/2020,Canada,727,9,12,1,19
3/19/2020,Canada,727,9,12,1,19
3/17/20,CAR,1,0,0,0,0.2
3/18/2020,CAR,1,0,0,0,0.2
3/18/2020,CAR,1,0,0,0,0.2
3/19/2020,CAR,1,0,0,0,0.2
3/17/20,Cayman Islands,1,1,0,0,15
3/18/2020,Cayman Islands,1,1,0,0,15
3/18/2020,Cayman Islands,1,1,0,0,15
3/19/2020,Cayman Islands,1,1,0,0,15
3/19/2020,Chad,1,0,0,0,0.06
3/17/20,Channel Islands,7,0,0,0,35
3/18/2020,Channel Islands,7,0,0,0,40
3/18/2020,Channel Islands,7,0,0,0,40
3/19/2020,Channel Islands,7,0,0,0,40
3/17/20,Chile,238,0,0,3,11
3/18/2020,Chile,238,0,0,3,12
3/18/2020,Chile,238,0,0,3,12
3/19/2020,Chile,342,0,0,6,18
3/17/20,China,80894,3237,69614,2622,56
3/18/2020,China,80894,3237,70420,2274,56
3/18/2020,China,80894,3237,70420,2274,56
3/19/2020,China,80928,3245,70420,2274,56
3/17/20,Colombia,93,0,1,0,1
3/18/2020,Colombia,93,0,1,0,2
3/18/2020,Colombia,93,0,1,0,2
3/19/2020,Colombia,102,0,1,0,2
3/17/20,Congo,1,0,0,0,0.2
3/18/2020,Congo,1,0,0,0,0.2
3/18/2020,Congo,1,0,0,0,0.2
3/19/2020,Congo,1,0,0,0,0.2
3/17/20,Costa Rica,69,1,0,3,10
3/18/2020,Costa Rica,69,1,0,2,14
3/18/2020,Costa Rica,69,1,0,2,14
3/19/2020,Costa Rica,69,1,0,2,14
3/17/20,Croatia,89,0,5,0,17
3/18/2020,Croatia,89,0,5,0,22
3/18/2020,Croatia,89,0,5,0,22
3/19/2020,Croatia,102,1,5,0,25
3/17/20,Cuba,10,1,0,0,0.6
3/18/2020,Cuba,10,1,0,0,0.9
3/18/2020,Cuba,10,1,0,0,0.9
3/19/2020,Cuba,11,1,0,0,1
3/17/20,Curaçao,3,0,0,0,18
3/18/2020,Curaçao,3,0,0,0,18
3/18/2020,Curaçao,3,0,0,0,18
3/19/2020,Curaçao,3,1,0,0,18
3/17/20,Cyprus,58,0,0,1,41
3/18/2020,Cyprus,58,0,0,1,48
3/18/2020,Cyprus,58,0,0,1,48
3/19/2020,Cyprus,58,0,0,1,48
3/17/20,Czechia,522,0,3,2,41
3/18/2020,Czechia,522,0,3,5,49
3/18/2020,Czechia,522,0,3,5,49
3/19/2020,Czechia,631,0,3,6,59
3/17/20,Denmark,1057,4,1,18,169
3/18/2020,Denmark,1057,4,1,24,182
3/18/2020,Denmark,1057,4,1,24,182
3/19/2020,Denmark,1132,6,1,30,195
3/17/20,Diamond Princess,712,7,456,14,0
3/18/2020,Diamond Princess,712,7,527,14,0
3/18/2020,Diamond Princess,712,7,527,14,0
3/19/2020,Diamond Princess,712,7,527,14,0
3/18/2020,Djibouti,1,0,0,0,1
3/18/2020,Djibouti,1,0,0,0,1
3/19/2020,Djibouti,1,0,0,0,1
3/17/20,Dominican Republic,34,2,0,0,2
3/18/2020,Dominican Republic,34,2,0,0,3
3/18/2020,Dominican Republic,34,2,0,0,3
3/19/2020,Dominican Republic,34,2,0,0,3
3/17/20,DRC,7,0,0,0,0.03
3/18/2020,DRC,7,0,0,0,0.08
3/18/2020,DRC,7,0,0,0,0.08
3/19/2020,DRC,14,0,0,0,0.2
3/17/20,Ecuador,168,3,0,2,6
3/18/2020,Ecuador,168,3,1,2,10
3/18/2020,Ecuador,168,3,1,2,10
3/19/2020,Ecuador,168,3,1,2,10
3/17/20,Egypt,210,6,26,0,2
3/18/2020,Egypt,210,6,28,0,2
3/18/2020,Egypt,210,6,28,0,2
3/19/2020,Egypt,210,6,28,0,2
3/18/2020,El Salvador,0,0,0,0,0.2
3/18/2020,El Salvador,0,0,0,0,0.2
3/19/2020,El Salvador,1,0,0,0,0.2
3/17/20,Equatorial Guinea,4,0,0,0,0.7
3/18/2020,Equatorial Guinea,4,0,0,0,3
3/18/2020,Equatorial Guinea,4,0,0,0,3
3/19/2020,Equatorial Guinea,4,0,0,0,3
3/17/20,Estonia,258,0,1,0,170
3/18/2020,Estonia,258,0,1,1,194
3/18/2020,Estonia,258,0,1,1,194
3/19/2020,Estonia,267,0,1,1,201
3/17/20,Eswatini,1,0,0,0,0.9
3/18/2020,Eswatini,1,0,0,0,0.9
3/18/2020,Eswatini,1,0,0,0,0.9
3/19/2020,Eswatini,1,0,0,0,0.9
3/17/20,Ethiopia,6,0,0,0,0.05
3/18/2020,Ethiopia,6,0,0,0,0.05
3/18/2020,Ethiopia,6,0,0,0,0.05
3/19/2020,Ethiopia,7,0,0,0,0.06
3/17/20,Faeroe Islands,58,0,0,0,962
3/18/2020,Faeroe Islands,58,0,1,0,1187
3/18/2020,Faeroe Islands,58,0,1,0,1187
3/19/2020,Faeroe Islands,72,0,1,0,1474
3/18/2020,Fiji,0,0,0,0,1
3/18/2020,Fiji,0,0,0,0,1
3/19/2020,Fiji,1,0,0,0,1
3/17/20,Finland,359,0,10,2,58
3/18/2020,Finland,359,0,10,2,65
3/18/2020,Finland,359,0,10,2,65
3/19/2020,Finland,400,0,10,2,72
3/17/20,France,9134,264,602,699,118
3/18/2020,France,9134,264,602,931,140
3/18/2020,France,9134,264,602,931,140
3/19/2020,France,9134,264,602,931,140
3/17/20,French Guiana,15,0,0,0,37
3/18/2020,French Guiana,15,0,0,0,50
3/18/2020,French Guiana,15,0,0,0,50
3/19/2020,French Guiana,15,0,0,0,50
3/17/20,French Polynesia,5,0,0,0,11
3/18/2020,French Polynesia,5,0,0,0,18
3/18/2020,French Polynesia,5,0,0,0,18
3/19/2020,French Polynesia,6,0,0,0,21
3/17/20,Gabon,3,0,0,0,0.4
3/18/2020,Gabon,3,0,0,0,1
3/18/2020,Gabon,3,0,0,0,1
3/19/2020,Gabon,3,0,0,0,1
3/17/20,Gambia,1,0,0,0,0.4
3/18/2020,Gambia,1,0,0,0,0.4
3/18/2020,Gambia,1,0,0,0,0.4
3/19/2020,Gambia,1,0,0,0,0.4
3/17/20,Georgia,38,0,1,1,9
3/18/2020,Georgia,38,0,1,1,10
3/18/2020,Georgia,38,0,1,1,10
3/19/2020,Georgia,40,0,1,1,10
3/17/20,Germany,12327,28,67,2,112
3/18/2020,Germany,12327,28,105,2,147
3/18/2020,Germany,12327,28,105,2,147
3/19/2020,Germany,13979,42,113,2,167
3/17/20,Ghana,7,0,0,0,0.2
3/18/2020,Ghana,7,0,0,0,0.2
3/18/2020,Ghana,7,0,0,0,0.2
3/19/2020,Ghana,9,0,0,0,0.3
3/17/20,Gibraltar,8,0,2,0,89
3/18/2020,Gibraltar,8,0,2,0,237
3/18/2020,Gibraltar,8,0,2,0,237
3/19/2020,Gibraltar,8,0,2,0,237
3/17/20,Greece,418,5,14,11,37
3/18/2020,Greece,418,5,14,13,40
3/18/2020,Greece,418,5,14,13,40
3/19/2020,Greece,418,6,14,20,40
3/17/20,Greenland,2,0,0,0,18
3/18/2020,Greenland,2,0,0,0,35
3/18/2020,Greenland,2,0,0,0,35
3/19/2020,Greenland,2,0,0,0,35
3/17/20,Guadeloupe,33,0,0,0,45
3/18/2020,Guadeloupe,33,0,0,0,82
3/18/2020,Guadeloupe,33,0,0,0,82
3/19/2020,Guadeloupe,33,0,0,0,82
3/17/20,Guam,8,0,0,0,30
3/18/2020,Guam,8,0,0,0,47
3/18/2020,Guam,8,0,0,0,47
3/19/2020,Guam,12,0,0,0,71
3/17/20,Guatemala,8,1,0,0,0.4
3/18/2020,Guatemala,8,1,0,0,0.4
3/18/2020,Guatemala,8,1,0,0,0.4
3/19/2020,Guatemala,8,1,0,0,0.4
3/17/20,Guinea,1,0,0,0,0.08
3/18/2020,Guinea,1,0,0,0,0.08
3/18/2020,Guinea,1,0,0,0,0.08
3/19/2020,Guinea,1,0,0,0,0.08
3/17/20,Guyana,4,1,0,0,9
3/18/2020,Guyana,4,1,0,0,5
3/18/2020,Guyana,4,1,0,0,5
3/19/2020,Guyana,5,1,0,0,6
3/17/20,Honduras,9,0,0,0,0.8
3/18/2020,Honduras,9,0,0,0,0.9
3/18/2020,Honduras,9,0,0,0,0.9
3/19/2020,Honduras,12,0,0,0,1
3/17/20,Hong Kong,193,4,81,4,22
3/18/2020,Hong Kong,193,4,95,4,26
3/18/2020,Hong Kong,193,4,95,4,26
3/19/2020,Hong Kong,208,4,98,4,28
3/17/20,Hungary,58,1,2,0,5
3/18/2020,Hungary,58,1,2,4,6
3/18/2020,Hungary,58,1,2,4,6
3/19/2020,Hungary,73,1,2,4,8
3/17/20,Iceland,250,0,5,1,724
3/18/2020,Iceland,250,0,5,1,733
3/18/2020,Iceland,250,0,5,1,733
3/19/2020,Iceland,330,0,5,1,967
3/17/20,India,169,3,14,0,0.1
3/18/2020,India,169,3,15,0,0.1
3/18/2020,India,169,3,15,0,0.1
3/19/2020,India,197,4,20,0,0.1
3/17/20,Indonesia,227,19,9,0,0.6
3/18/2020,Indonesia,227,19,11,0,0.8
3/18/2020,Indonesia,227,19,11,0,0.8
3/19/2020,Indonesia,309,25,15,0,1
3/17/20,Iran,17361,1135,5389,0,193
3/18/2020,Iran,17361,1135,5710,0,207
3/18/2020,Iran,17361,1135,5710,0,207
3/19/2020,Iran,18407,1284,5979,0,219
3/17/20,Iraq,164,12,41,0,4
3/18/2020,Iraq,164,12,43,0,4
3/18/2020,Iraq,164,12,43,0,4
3/19/2020,Iraq,177,12,49,0,4
3/17/20,Ireland,366,2,5,6,59
3/18/2020,Ireland,366,2,5,6,74
3/18/2020,Ireland,366,2,5,6,74
3/19/2020,Ireland,366,2,5,6,74
3/17/20,Israel,433,0,11,5,39
3/18/2020,Israel,433,0,11,6,50
3/18/2020,Israel,433,0,11,6,50
3/19/2020,Israel,529,0,13,6,61
3/17/20,Italy,35713,2978,2941,2060,521
3/18/2020,Italy,35713,2978,4025,2257,591
3/18/2020,Italy,35713,2978,4025,2257,591
3/19/2020,Italy,35713,2978,4025,2257,591
3/17/20,Ivory Coast,9,0,0,0,0.2
3/18/2020,Ivory Coast,9,0,1,0,0.3
3/18/2020,Ivory Coast,9,0,1,0,0.3
3/19/2020,Ivory Coast,9,0,1,0,0.3
3/17/20,Jamaica,15,1,2,0,4
3/18/2020,Jamaica,15,1,2,0,5
3/18/2020,Jamaica,15,1,2,0,5
3/19/2020,Jamaica,15,1,2,0,5
3/17/20,Japan,914,29,144,41,7
3/18/2020,Japan,914,29,191,46,7
3/18/2020,Japan,914,29,191,46,7
3/19/2020,Japan,923,32,191,46,7
3/17/20,Jordan,56,0,1,0,5
3/18/2020,Jordan,56,0,1,0,5
3/18/2020,Jordan,56,0,1,0,5
3/19/2020,Jordan,56,0,1,0,5
3/17/20,Kazakhstan,36,0,0,0,2
3/18/2020,Kazakhstan,36,0,0,0,2
3/18/2020,Kazakhstan,36,0,0,0,2
3/19/2020,Kazakhstan,44,0,0,0,2
3/17/20,Kenya,7,0,0,0,0.07
3/18/2020,Kenya,7,0,0,0,0.1
3/18/2020,Kenya,7,0,0,0,0.1
3/19/2020,Kenya,7,0,0,0,0.1
3/17/20,Kuwait,142,0,12,4,30
3/18/2020,Kuwait,142,0,15,4,33
3/18/2020,Kuwait,142,0,15,4,33
3/19/2020,Kuwait,148,0,18,5,35
3/18/2020,Kyrgyzstan,3,0,0,0,0.5
3/18/2020,Kyrgyzstan,3,0,0,0,0.5
3/19/2020,Kyrgyzstan,3,0,0,0,0.5
3/17/20,Latvia,71,0,1,0,32
3/18/2020,Latvia,71,0,1,0,38
3/18/2020,Latvia,71,0,1,0,38
3/19/2020,Latvia,86,0,1,0,46
3/17/20,Lebanon,133,4,4,3,18
3/18/2020,Lebanon,133,4,4,3,19
3/18/2020,Lebanon,133,4,4,3,19
3/19/2020,Lebanon,149,4,4,3,22
3/17/20,Liberia,2,0,0,0,0.4
3/18/2020,Liberia,2,0,0,0,0.4
3/18/2020,Liberia,2,0,0,0,0.4
3/19/2020,Liberia,2,0,0,0,0.4
3/17/20,Liechtenstein,28,0,0,0,498
3/18/2020,Liechtenstein,28,0,0,0,734
3/18/2020,Liechtenstein,28,0,0,0,734
3/19/2020,Liechtenstein,28,0,0,0,734
3/17/20,Lithuania,34,0,1,1,10
3/18/2020,Lithuania,34,0,1,1,12
3/18/2020,Lithuania,34,0,1,1,12
3/19/2020,Lithuania,36,0,1,1,13
3/17/20,Luxembourg,203,2,0,1,224
3/18/2020,Luxembourg,203,2,0,1,324
3/18/2020,Luxembourg,203,2,0,1,324
3/19/2020,Luxembourg,335,4,0,1,535
3/17/20,Macao,17,0,10,0,20
3/18/2020,Macao,17,0,10,0,26
3/18/2020,Macao,17,0,10,0,26
3/19/2020,Macao,17,0,10,0,26
3/17/20,Malaysia,790,2,49,10,21
3/18/2020,Malaysia,790,2,60,15,24
3/18/2020,Malaysia,790,2,60,15,24
3/19/2020,Malaysia,900,2,75,15,28
3/17/20,Maldives,13,0,0,0,24
3/18/2020,Maldives,13,0,0,0,24
3/18/2020,Maldives,13,0,0,0,24
3/19/2020,Maldives,13,0,0,0,24
3/17/20,Malta,48,0,2,0,86
3/18/2020,Malta,48,0,2,0,109
3/18/2020,Malta,48,0,2,0,109
3/19/2020,Malta,53,0,2,0,120
3/17/20,Martinique,23,1,0,0,40
3/18/2020,Martinique,23,1,0,0,61
3/18/2020,Martinique,23,1,0,0,61
3/19/2020,Martinique,23,1,0,0,61
3/17/20,Mauritania,2,0,0,0,0.2
3/18/2020,Mauritania,2,0,0,0,0.4
3/18/2020,Mauritania,2,0,0,0,0.4
3/19/2020,Mauritania,2,0,0,0,0.4
3/18/2020,Mauritius,3,0,0,0,2
3/18/2020,Mauritius,3,0,0,0,2
3/19/2020,Mauritius,3,0,0,0,2
3/17/20,Mayotte,3,0,0,0,11
3/18/2020,Mayotte,3,0,0,0,11
3/18/2020,Mayotte,3,0,0,0,11
3/19/2020,Mayotte,3,0,0,0,11
3/17/20,Mexico,93,0,4,1,0.6
3/18/2020,Mexico,93,0,4,1,0.9
3/18/2020,Mexico,93,0,4,1,0.9
3/19/2020,Mexico,118,1,4,1,0.9
3/17/20,Moldova,36,1,1,1,7
3/18/2020,Moldova,36,1,1,2,9
3/18/2020,Moldova,36,1,1,2,9
3/19/2020,Moldova,36,1,1,3,9
3/17/20,Monaco,9,0,0,0,229
3/18/2020,Monaco,9,0,0,0,229
3/18/2020,Monaco,9,0,0,0,229
3/19/2020,Monaco,9,0,0,0,229
3/17/20,Mongolia,6,0,0,0,2
3/18/2020,Mongolia,6,0,0,0,2
3/18/2020,Mongolia,6,0,0,0,2
3/19/2020,Mongolia,6,0,0,0,2
3/17/20,Montenegro,8,0,0,0,3
3/18/2020,Montenegro,8,0,0,0,13
3/18/2020,Montenegro,8,0,0,0,13
3/19/2020,Montenegro,10,0,0,0,16
3/18/2020,Montserrat,1,0,0,0,200
3/18/2020,Montserrat,1,0,0,0,200
3/19/2020,Montserrat,1,0,0,0,200
3/17/20,Morocco,54,2,1,1,1
3/18/2020,Morocco,54,2,1,1,1
3/18/2020,Morocco,54,2,1,1,1
3/19/2020,Morocco,61,2,1,1,2
3/17/20,Namibia,2,0,0,0,0.8
3/18/2020,Namibia,2,0,0,0,0.8
3/18/2020,Namibia,2,0,0,0,0.8
3/19/2020,Namibia,2,0,0,0,0.8
3/17/20,Nepal,1,0,1,0,0.03
3/18/2020,Nepal,1,0,1,0,0.03
3/18/2020,Nepal,1,0,1,0,0.03
3/19/2020,Nepal,1,0,1,0,0.03
3/17/20,Netherlands,2051,58,2,45,100
3/18/2020,Netherlands,2051,58,2,45,120
3/18/2020,Netherlands,2051,58,2,45,120
3/19/2020,Netherlands,2460,76,2,45,144
3/18/2020,New Caledonia,2,0,0,0,7
3/18/2020,New Caledonia,2,0,0,0,7
3/19/2020,New Caledonia,2,0,0,0,7
3/17/20,New Zealand,20,0,0,0,4
3/18/2020,New Zealand,20,0,0,0,6
3/18/2020,New Zealand,20,0,0,0,6
3/19/2020,New Zealand,28,0,0,0,6
3/18/2020,Nicaragua,0,0,0,0,0.2
3/18/2020,Nicaragua,0,0,0,0,0.2
3/19/2020,Nicaragua,1,0,0,0,0.2
3/17/20,Nigeria,8,0,1,0,0.01
3/18/2020,Nigeria,8,0,1,0,0.04
3/18/2020,Nigeria,8,0,1,0,0.04
3/19/2020,Nigeria,12,0,1,0,0.06
3/17/20,North Macedonia,43,0,1,1,15
3/18/2020,North Macedonia,43,0,1,1,21
3/18/2020,North Macedonia,43,0,1,1,21
3/19/2020,North Macedonia,43,0,1,1,21
3/17/20,Norway,1591,6,1,27,271
3/18/2020,Norway,1591,6,1,27,293
3/18/2020,Norway,1591,6,1,27,293
3/19/2020,Norway,1738,7,1,27,321
3/17/20,Oman,39,0,12,0,6
3/18/2020,Oman,39,0,13,0,8
3/18/2020,Oman,39,0,13,0,8
3/19/2020,Oman,39,0,13,0,8
3/17/20,Pakistan,307,2,2,0,1
3/18/2020,Pakistan,307,2,13,0,1
3/18/2020,Pakistan,307,2,13,0,1
3/19/2020,Pakistan,384,2,13,0,2
3/17/20,Palestine,44,0,0,0,9
3/18/2020,Palestine,44,0,0,0,9
3/18/2020,Palestine,44,0,0,0,9
3/19/2020,Palestine,47,0,0,0,9
3/17/20,Panama,109,1,0,7,16
3/18/2020,Panama,109,1,0,7,25
3/18/2020,Panama,109,1,0,7,25
3/19/2020,Panama,109,1,0,7,25
3/17/20,Paraguay,11,0,0,1,1
3/18/2020,Paraguay,11,0,0,1,2
3/18/2020,Paraguay,11,0,0,1,2
3/19/2020,Paraguay,11,0,0,1,2
3/17/20,Peru,145,0,1,8,4
3/18/2020,Peru,145,0,1,8,4
3/18/2020,Peru,145,0,1,8,4
3/19/2020,Peru,155,0,1,8,5
3/17/20,Philippines,202,17,4,1,2
3/18/2020,Philippines,202,17,7,1,2
3/18/2020,Philippines,202,17,7,1,2
3/19/2020,Philippines,217,17,8,1,2
3/17/20,Poland,287,5,1,3,6
3/18/2020,Poland,287,5,13,3,8
3/18/2020,Poland,287,5,13,3,8
3/19/2020,Poland,325,5,13,3,9
3/17/20,Portugal,642,2,3,18,44
3/18/2020,Portugal,642,2,4,18,63
3/18/2020,Portugal,642,2,4,18,63
3/19/2020,Portugal,785,3,4,20,77
3/17/20,Puerto Rico,6,0,0,0,2
3/18/2020,Puerto Rico,6,0,0,0,2
3/18/2020,Puerto Rico,6,0,0,0,2
3/19/2020,Puerto Rico,6,0,0,0,2
3/17/20,Qatar,452,0,4,0,153
3/18/2020,Qatar,452,0,4,0,157
3/18/2020,Qatar,452,0,4,0,157
3/19/2020,Qatar,452,0,4,0,157
3/17/20,Réunion,14,0,0,0,10
3/18/2020,Réunion,14,0,0,0,16
3/18/2020,Réunion,14,0,0,0,16
3/19/2020,Réunion,19,0,0,0,21
3/17/20,Romania,260,0,19,5,11
3/18/2020,Romania,260,0,19,5,14
3/18/2020,Romania,260,0,19,5,14
3/19/2020,Romania,277,0,25,5,14
3/17/20,Russia,147,0,8,0,0.8
3/18/2020,Russia,147,0,8,0,1
3/18/2020,Russia,147,0,8,0,1
3/19/2020,Russia,199,1,8,0,1
3/17/20,Rwanda,11,0,0,0,0.5
3/18/2020,Rwanda,11,0,0,0,0.8
3/18/2020,Rwanda,11,0,0,0,0.8
3/19/2020,Rwanda,11,0,0,0,0.8
3/17/20,S. Korea,8413,84,1540,59,164
3/18/2020,S. Korea,8413,84,1947,59,167
3/18/2020,S. Korea,8413,84,1947,59,167
3/19/2020,S. Korea,8565,91,1947,59,167
3/17/20,Saint Lucia,2,0,0,0,11
3/18/2020,Saint Lucia,2,0,0,0,11
3/18/2020,Saint Lucia,2,0,0,0,11
3/19/2020,Saint Lucia,2,0,0,0,11
3/17/20,Saint Martin,3,0,0,0,52
3/18/2020,Saint Martin,3,0,0,0,78
3/18/2020,Saint Martin,3,0,0,0,78
3/19/2020,Saint Martin,3,0,0,0,78
3/17/20,San Marino,140,14,4,11,3507
3/18/2020,San Marino,140,14,4,11,4126
3/18/2020,San Marino,140,14,4,11,4126
3/19/2020,San Marino,140,14,4,11,4126
3/17/20,Saudi Arabia,238,0,6,0,5
3/18/2020,Saudi Arabia,238,0,6,0,7
3/18/2020,Saudi Arabia,238,0,6,0,7
3/19/2020,Saudi Arabia,238,0,8,0,7
3/17/20,Senegal,36,0,2,0,2
3/18/2020,Senegal,36,0,2,0,2
3/18/2020,Senegal,36,0,2,0,2
3/19/2020,Senegal,36,0,2,0,2
3/17/20,Serbia,89,0,1,4,8
3/18/2020,Serbia,89,0,1,4,10
3/18/2020,Serbia,89,0,1,4,10
3/19/2020,Serbia,97,0,1,4,11
3/17/20,Seychelles,6,0,0,0,41
3/18/2020,Seychelles,6,0,0,0,61
3/18/2020,Seychelles,6,0,0,0,61
3/19/2020,Seychelles,6,0,0,0,61
3/17/20,Singapore,313,0,114,14,45
3/18/2020,Singapore,313,0,117,14,54
3/18/2020,Singapore,313,0,117,14,54
3/19/2020,Singapore,345,0,124,14,59
3/18/2020,Sint Maarten,1,0,0,0,23
3/18/2020,Sint Maarten,1,0,0,0,23
3/19/2020,Sint Maarten,1,0,0,0,23
3/17/20,Slovakia,105,0,0,2,18
3/18/2020,Slovakia,105,0,0,2,19
3/18/2020,Slovakia,105,0,0,2,19
3/19/2020,Slovakia,124,0,0,2,23
3/17/20,Slovenia,286,1,0,4,132
3/18/2020,Slovenia,286,1,0,6,138
3/18/2020,Slovenia,286,1,0,6,138
3/19/2020,Slovenia,319,1,0,6,153
3/17/20,Somalia,1,0,0,0,0.06
3/18/2020,Somalia,1,0,0,0,0.06
3/18/2020,Somalia,1,0,0,0,0.06
3/19/2020,Somalia,1,0,0,0,0.06
3/17/20,South Africa,116,0,0,0,1
3/18/2020,South Africa,116,0,0,0,2
3/18/2020,South Africa,116,0,0,0,2
3/19/2020,South Africa,150,0,0,0,3
3/17/20,Spain,14769,638,1028,563,253
3/18/2020,Spain,14769,638,1081,800,316
3/18/2020,Spain,14769,638,1081,800,316
3/19/2020,Spain,17395,803,1107,800,372
3/17/20,Sri Lanka,51,0,1,0,2
3/18/2020,Sri Lanka,51,0,3,0,2
3/18/2020,Sri Lanka,51,0,3,0,2
3/19/2020,Sri Lanka,60,0,3,0,3
3/17/20,St. Barth,3,0,0,0,304
3/18/2020,St. Barth,3,0,0,0,304
3/18/2020,St. Barth,3,0,0,0,304
3/19/2020,St. Barth,3,0,0,0,304
