Date,Country,Confirmed,Deaths,Critical,Recovered
3/21/2020,Equatorial Guinea,6,0,N/A,N/A
3/22/2020,Equatorial Guinea,6,0,N/A,N/A
3/17/2020,Estonia,205,0,,1
3/18/2020,Estonia,258,0,,1
3/19/2020,Estonia,267,0,,1
3/20/2020,Estonia,267,0,0,1
3/21/2020,Estonia,306,0,N/A,2
3/22/2020,Estonia,326,0,N/A,2
3/17/2020,Eswatini,1,0,,
3/18/2020,Eswatini,1,0,,
3/19/2020,Eswatini,1,0,,
3/20/2020,Eswatini,1,0,0,0
3/21/2020,Eswatini,1,0,0,0
3/22/2020,Eswatini,1,0,0,0
3/17/2020,Ethiopia,5,0,,
3/18/2020,Ethiopia,6,0,,
3/19/2020,Ethiopia,9,0,,
3/20/2020,Ethiopia,9,0,0,0
3/21/2020,Ethiopia,9,0,N/A,N/A
3/22/2020,Ethiopia,9,0,N/A,N/A
3/20/2020,Fiji,1,0,0,0
3/21/2020,Fiji,2,0,N/A,0
3/22/2020,Fiji,2,0,N/A,0
3/17/2020,Finland,319,0,,1
3/18/2020,Finland,333,0,,10
3/19/2020,Finland,400,0,,10
3/20/2020,Finland,450,0,0,10
3/21/2020,Finland,521,1,N/A,10
3/22/2020,Finland,521,1,N/A,10
3/17/2020,France,7730,175,,12
3/18/2020,France,9134,264,,12
3/19/2020,France,10995,372,,12
3/20/2020,France,12612,450,1297,1587
3/21/2020,France,14459,562,1297,1587
3/22/2020,France,16018,674,1746,1587
3/19/2020,French Polynesia,6,0,,
3/20/2020,French Polynesia,11,0,0,0
3/21/2020,French Polynesia,11,0,N/A,N/A
3/22/2020,French Polynesia,11,0,N/A,N/A
3/17/2020,Gabon,1,0,,
3/18/2020,Gabon,3,0,,
3/19/2020,Gabon,3,0,,
3/20/2020,Gabon,3,0,0,0
3/21/2020,Gabon,4,1,N/A,N/A
3/22/2020,Gabon,4,1,N/A,N/A
3/17/2020,Gambia,1,0,,
3/18/2020,Gambia,1,0,,
3/19/2020,Gambia,1,0,,
3/20/2020,Gambia,1,0,0,0
3/21/2020,Gambia,1,0,N/A,N/A
3/22/2020,Gambia,1,0,N/A,N/A
3/17/2020,Georgia,35,0,,1
3/18/2020,Georgia,38,0,,1
3/19/2020,Georgia,40,0,,1
3/20/2020,Georgia,44,0,1,1
3/21/2020,Georgia,47,0,1,1
3/22/2020,Georgia,54,0,1,3
3/17/2020,Germany,9360,26,2,67
3/18/2020,Germany,12327,28,2,105
3/19/2020,Germany,15320,44,2,115
3/20/2020,Germany,19848,60,2,115
3/21/2020,Germany,22364,84,N/A,239
3/22/2020,Germany,24806,93,N/A,266
3/17/2020,Ghana,6,0,,
3/18/2020,Ghana,7,0,,
3/19/2020,Ghana,9,0,,
3/20/2020,Ghana,16,0,0,0
3/21/2020,Ghana,19,0,N/A,N/A
3/22/2020,Ghana,21,1,N/A,N/A
3/17/2020,Gibraltar,3,0,,1
3/18/2020,Gibraltar,3,0,,1
3/19/2020,Gibraltar,8,0,,2
3/20/2020,Gibraltar,10,0,1,2
3/21/2020,Gibraltar,10,0,1,2
3/22/2020,Gibraltar,10,0,1,2
3/17/2020,Greece,387,5,,10
3/18/2020,Greece,387,5,,10
3/19/2020,Greece,464,6,,10
3/20/2020,Greece,495,10,20,19
3/21/2020,Greece,530,13,18,19
3/22/2020,Greece,530,13,18,19
3/18/2020,Greenland,2,0,,
3/19/2020,Greenland,2,0,,
3/20/2020,Greenland,2,0,0,0
3/21/2020,Greenland,2,0,N/A,N/A
3/22/2020,Greenland,2,0,N/A,N/A
3/17/2020,Guatemala,6,1,,
3/18/2020,Guatemala,6,1,,
3/19/2020,Guatemala,7,1,,
3/20/2020,Guatemala,9,1,0,0
3/21/2020,Guatemala,13,1,N/A,N/A
3/22/2020,Guatemala,17,1,N/A,N/A
3/19/2020,Guernsey,1,0,,
3/20/2020,Guernsey,1,0,0,0
3/21/2020,Guernsey,2,0,N/A,N/A
3/22/2020,Guernsey,2,0,N/A,N/A
3/17/2020,Guinea,1,0,,
3/18/2020,Guinea,1,0,,
3/19/2020,Guinea,2,0,,
3/20/2020,Guinea,2,0,0,0
3/21/2020,Guinea,2,0,N/A,N/A
3/22/2020,Guinea,2,0,N/A,N/A
3/19/2020,Guyana,4,0,,
3/20/2020,Guyana,5,0,0,0
3/21/2020,Guyana,5,0,N/A,N/A
3/22/2020,Guyana,5,0,N/A,N/A
3/19/2020,Haiti,2,0,,
3/20/2020,Haiti,2,0,0,0
3/21/2020,Haiti,2,0,N/A,N/A
3/22/2020,Haiti,2,0,N/A,N/A
3/17/2020,Honduras,8,0,,
3/18/2020,Honduras,8,0,,
3/19/2020,Honduras,12,0,,
3/20/2020,Honduras,24,0,0,0
3/21/2020,Honduras,24,0,N/A,N/A
3/22/2020,Honduras,26,0,N/A,N/A
3/17/2020,Hong Kong,158,4,2,88
3/18/2020,Hong Kong,193,4,2,95
3/19/2020,Hong Kong,193,4,2,95
3/20/2020,Hong Kong,256,4,4,98
3/21/2020,Hong Kong,274,4,4,100
3/22/2020,Hong Kong,318,4,4,100
3/17/2020,Hungary,50,1,,2
3/18/2020,Hungary,50,1,,2
3/19/2020,Hungary,73,1,,2
3/20/2020,Hungary,85,3,0,7
3/21/2020,Hungary,103,3,N/A,7
3/22/2020,Hungary,131,3,N/A,7
3/17/2020,Iceland,247,0,,5
3/18/2020,Iceland,247,0,,5
3/19/2020,Iceland,330,0,,5
3/20/2020,Iceland,409,0,1,5
3/21/2020,Iceland,473,0,1,5
3/22/2020,Iceland,568,0,1,5
3/17/2020,India,137,3,,14
3/18/2020,India,147,3,,14
3/19/2020,India,173,4,,15
3/20/2020,India,236,4,0,15
3/21/2020,India,315,4,N/A,23
3/22/2020,India,324,4,N/A,23
3/17/2020,Indonesia,172,7,,9
3/18/2020,Indonesia,227,19,,11
3/19/2020,Indonesia,309,25,,15
3/20/2020,Indonesia,369,32,0,17
3/21/2020,Indonesia,450,38,N/A,17
3/22/2020,Indonesia,450,38,N/A,17
3/17/2020,Iran,16169,988,,5389
3/18/2020,Iran,17361,1135,,5710
3/19/2020,Iran,18407,1284,,5979
3/20/2020,Iran,19644,1433,0,6745
3/21/2020,Iran,20610,1556,N/A,7635
3/22/2020,Iran,21638,1685,N/A,7913
3/17/2020,Iraq,154,11,,41
3/18/2020,Iraq,154,11,,41
3/19/2020,Iraq,177,12,,49
3/20/2020,Iraq,208,17,0,49
3/21/2020,Iraq,208,17,N/A,49
3/22/2020,Iraq,214,17,N/A,52
3/17/2020,Ireland,292,2,,
3/18/2020,Ireland,366,2,,
3/19/2020,Ireland,366,2,,
3/20/2020,Ireland,683,3,0,0
3/21/2020,Ireland,785,3,N/A,N/A
3/22/2020,Ireland,785,3,N/A,N/A
3/19/2020,Isle of Man,1,0,,
3/20/2020,Isle of Man,1,0,0,0
3/21/2020,Isle of Man,2,0,N/A,N/A
3/22/2020,Isle of Man,2,0,N/A,N/A
3/17/2020,Israel,337,0,,5
3/18/2020,Israel,337,0,,5
3/19/2020,Israel,573,0,6,14
3/20/2020,Israel,705,1,10,14
3/21/2020,Israel,883,1,15,14
3/22/2020,Israel,883,1,15,14
3/17/2020,Italy,31506,2503,,2941
3/18/2020,Italy,35713,2978,,4025
3/19/2020,Italy,41035,3405,,4440
3/20/2020,Italy,47021,4032,2655,5129
3/21/2020,Italy,53578,4825,2857,6072
3/22/2020,Italy,59138,5476,3009,7024
3/17/2020,Ivory Coast,6,0,,
3/18/2020,Ivory Coast,6,0,,
3/19/2020,Ivory Coast,6,0,,
3/20/2020,Ivory Coast,9,0,0,0
3/21/2020,Ivory Coast,14,0,N/A,N/A
3/22/2020,Ivory Coast,14,0,N/A,N/A
3/17/2020,Jamaica,12,0,,
3/18/2020,Jamaica,13,1,,
3/19/2020,Jamaica,15,1,,
3/20/2020,Jamaica,16,1,0,0
3/21/2020,Jamaica,19,1,N/A,N/A
3/22/2020,Jamaica,19,1,N/A,N/A
3/17/2020,Japan,835,29,,164
3/18/2020,Japan,835,29,,164
3/19/2020,Japan,956,40,,215
3/20/2020,Japan,967,33,49,215
3/21/2020,Japan,1055,36,49,215
3/22/2020,Japan,1055,36,49,215
3/19/2020,Jersey,6,0,,
3/20/2020,Jersey,10,0,0,0
3/21/2020,Jersey,12,0,N/A,N/A
3/22/2020,Jersey,12,0,N/A,N/A
3/17/2020,Jordan,48,0,,1
3/18/2020,Jordan,48,0,,1
3/19/2020,Jordan,56,0,,1
3/20/2020,Jordan,69,0,0,1
3/21/2020,Jordan,99,0,N/A,1
3/22/2020,Jordan,99,0,N/A,1
3/17/2020,Kazakhstan,27,0,,
3/18/2020,Kazakhstan,35,0,,
3/19/2020,Kazakhstan,44,0,,
3/20/2020,Kazakhstan,49,0,0,0
3/21/2020,Kazakhstan,53,0,N/A,N/A
3/22/2020,Kazakhstan,57,0,N/A,N/A
3/17/2020,Kenya,4,0,,
3/18/2020,Kenya,10,0,,
3/19/2020,Kenya,7,0,,
3/20/2020,Kenya,7,0,0,0
3/21/2020,Kenya,7,0,0,0
3/22/2020,Kenya,7,0,0,0
3/17/2020,Kosovo,16,0,,
3/18/2020,Kosovo,19,0,,
3/19/2020,Kosovo,19,0,,
3/20/2020,Kosovo,21,0,0,0
3/21/2020,Kosovo,24,0,N/A,N/A
3/22/2020,Kosovo,31,1,N/A,N/A
3/17/2020,Kuwait,123,0,,12
3/18/2020,Kuwait,130,0,,15
3/19/2020,Kuwait,148,0,,18
3/20/2020,Kuwait,159,0,5,22
3/21/2020,Kuwait,176,0,5,27
3/22/2020,Kuwait,188,0,5,30
3/18/2020,Kyrgyzstan,3,0,,
3/19/2020,Kyrgyzstan,3,0,,
3/20/2020,Kyrgyzstan,3,0,0,0
3/21/2020,Kyrgyzstan,12,0,N/A,N/A
3/22/2020,Kyrgyzstan,12,0,N/A,N/A
3/17/2020,Latvia,49,0,,
3/18/2020,Latvia,71,0,,
3/19/2020,Latvia,86,0,,
3/20/2020,Latvia,111,0,0,0
3/21/2020,Latvia,124,0,N/A,N/A
3/22/2020,Latvia,139,0,N/A,N/A
3/17/2020,Lebanon,109,3,2,
3/18/2020,Lebanon,133,3,2,
3/19/2020,Lebanon,149,4,2,3
3/20/2020,Lebanon,163,4,2,3
3/21/2020,Lebanon,187,4,2,3
3/22/2020,Lebanon,248,4,2,3
3/17/2020,Liberia,2,0,,
3/18/2020,Liberia,2,0,,
3/19/2020,Liberia,2,0,,
3/20/2020,Liberia,2,0,0,0
3/21/2020,Liberia,3,0,N/A,N/A
3/22/2020,Liberia,3,0,N/A,N/A
3/17/2020,Liechtenstein,7,0,,
3/18/2020,Liechtenstein,19,0,,
3/19/2020,Liechtenstein,28,0,,
3/20/2020,Liechtenstein,28,0,0,0
3/21/2020,Liechtenstein,28,0,N/A,N/A
3/22/2020,Liechtenstein,44,0,N/A,N/A
3/17/2020,Lithuania,18,0,,1
3/18/2020,Lithuania,26,0,,1
3/19/2020,Lithuania,34,0,,1
3/20/2020,Lithuania,48,0,0,1
3/21/2020,Lithuania,69,1,N/A,1
3/22/2020,Lithuania,105,1,N/A,1
3/17/2020,Luxembourg,140,1,,
3/18/2020,Luxembourg,203,2,,
3/19/2020,Luxembourg,335,4,,
3/20/2020,Luxembourg,484,5,0,0
3/21/2020,Luxembourg,670,8,N/A,N/A
3/22/2020,Luxembourg,670,8,N/A,N/A
3/17/2020,Macau,12,0,,10
3/18/2020,Macau,14,0,,10
3/19/2020,Macau,17,0,,10
3/20/2020,Macau,17,0,0,10
3/21/2020,Macau,17,0,N/A,10
3/22/2020,Macau,17,0,N/A,10
3/17/2020,Malaysia,673,2,,49
3/18/2020,Malaysia,790,2,,60
3/19/2020,Malaysia,900,2,,75
3/20/2020,Malaysia,900,2,15,75
3/21/2020,Malaysia,1183,8,37,114
3/22/2020,Malaysia,1183,9,37,114
3/17/2020,Maldives,13,0,,
3/18/2020,Maldives,13,0,,
3/19/2020,Maldives,13,0,,
3/20/2020,Maldives,13,0,0,0
3/21/2020,Maldives,13,0,N/A,2
3/22/2020,Maldives,13,0,N/A,2
3/17/2020,Malta,30,0,,2
3/18/2020,Malta,38,0,,2
3/19/2020,Malta,48,0,,2
3/20/2020,Malta,64,0,0,2
3/21/2020,Malta,73,0,1,2
3/22/2020,Malta,73,0,1,2
3/17/2020,Mauritania,1,0,,
3/18/2020,Mauritania,1,0,,
3/19/2020,Mauritania,2,0,,
3/20/2020,Mauritania,2,0,0,0
3/21/2020,Mauritania,2,0,N/A,N/A
3/22/2020,Mauritania,2,0,N/A,N/A
3/19/2020,Mauritius,3,0,,
3/20/2020,Mauritius,7,0,0,0
3/21/2020,Mauritius,14,1,N/A,N/A
3/22/2020,Mauritius,14,1,N/A,N/A
3/17/2020,Mexico,82,0,1,3
3/18/2020,Mexico,118,0,1,3
3/19/2020,Mexico,164,1,,3
3/20/2020,Mexico,164,1,3,3
3/21/2020,Mexico,251,2,5,35
3/22/2020,Mexico,251,2,5,35
3/17/2020,Moldova,30,0,1,1
3/18/2020,Moldova,30,1,1,1
3/19/2020,Moldova,36,1,1,1
3/20/2020,Moldova,49,1,1,1
3/21/2020,Moldova,66,1,1,1
3/22/2020,Moldova,94,1,N/A,2
3/17/2020,Monaco,9,0,,
3/18/2020,Monaco,9,0,,
3/19/2020,Monaco,10,0,,
3/20/2020,Monaco,11,0,0,1
3/21/2020,Monaco,12,0,N/A,1
3/22/2020,Monaco,12,0,N/A,1
3/19/2020,Mongolia,6,0,,
3/20/2020,Mongolia,6,0,0,0
3/21/2020,Mongolia,10,0,N/A,N/A
3/22/2020,Mongolia,10,0,N/A,N/A
3/17/2020,Montenegro,1,0,,
3/18/2020,Montenegro,2,0,,
3/19/2020,Montenegro,8,0,,
3/20/2020,Montenegro,13,0,0,0
3/21/2020,Montenegro,14,0,N/A,N/A
3/22/2020,Montenegro,14,0,N/A,N/A
3/18/2020,Montserrat,1,0,,
3/19/2020,Montserrat,1,0,,
3/20/2020,Montserrat,1,0,0,0
3/21/2020,Montserrat,1,0,N/A,N/A
3/22/2020,Montserrat,1,0,N/A,N/A
3/17/2020,Morocco,37,1,,
3/18/2020,Morocco,49,2,,
3/19/2020,Morocco,58,2,,1
3/20/2020,Morocco,77,3,0,2
3/21/2020,Morocco,96,3,N/A,3
3/22/2020,Morocco,96,3,N/A,3
3/17/2020,Namibia,2,0,,
3/18/2020,Namibia,2,0,,
3/19/2020,Namibia,2,0,,
3/20/2020,Namibia,3,0,0,0
3/21/2020,Namibia,3,0,N/A,N/A
3/22/2020,Namibia,3,0,N/A,N/A
3/17/2020,Nepal,1,0,,1
3/18/2020,Nepal,1,0,,1
3/19/2020,Nepal,1,0,,1
3/20/2020,Nepal,1,0,0,1
3/21/2020,Nepal,1,0,N/A,1
3/22/2020,Nepal,1,0,N/A,1
3/17/2020,Netherlands,1705,43,45,2
3/18/2020,Netherlands,2051,58,45,2
3/19/2020,Netherlands,2460,76,177,2
3/20/2020,Netherlands,2994,106,177,2
3/21/2020,Netherlands,3631,136,177,2
3/22/2020,Netherlands,4204,179,177,2
3/20/2020,New Caledonia,2,0,0,0
3/21/2020,New Caledonia,4,0,N/A,N/A
3/22/2020,New Caledonia,4,0,N/A,N/A
3/17/2020,New Zealand,11,0,,
3/18/2020,New Zealand,28,0,,
3/19/2020,New Zealand,39,0,,
3/20/2020,New Zealand,53,0,0,0
3/21/2020,New Zealand,67,0,N/A,N/A
3/22/2020,New Zealand,67,0,N/A,N/A
3/18/2020,Nicaragua,1,0,,
3/19/2020,Nicaragua,1,0,,
3/20/2020,Nicaragua,1,0,0,0
3/21/2020,Nicaragua,2,0,N/A,N/A
3/22/2020,Nicaragua,2,0,N/A,N/A
3/20/2020,Niger,1,0,0,0
3/21/2020,Niger,1,0,N/A,N/A
3/22/2020,Niger,1,0,N/A,N/A
