Date,Country,State,Lat,Long,Cases,Type
3/17/20,Egypt,,26,30,196,confirmed
3/17/20,Philippines,,13,122,187,confirmed
3/17/20,Thailand,,15,101,177,confirmed
3/17/20,Indonesia,,-0.7893,113.9213,172,confirmed
3/17/20,Hong Kong,,22.3193,114.1694,167,confirmed
3/17/20,Iraq,,33,44,154,confirmed
3/17/20,India,,21,78,143,confirmed
3/17/20,Luxembourg,,49.8153,6.1296,140,confirmed
3/17/20,Saudi Arabia,,24,45,133,confirmed
3/17/20,Kuwait,,29.5,47.75,130,confirmed
3/17/20,Lebanon,,33.8547,35.8623,125,confirmed
3/17/20,Peru,,-9.19,-75.0152,117,confirmed
3/17/20,San Marino,,43.9424,12.4578,115,confirmed
3/17/20,Russia,,60,90,114,confirmed
3/17/20,Ecuador,,-1.8312,-78.1834,111,confirmed
3/17/20,Turkey,,38.9637,35.2433,98,confirmed
3/17/20,United Arab Emirates,,24,54,98,confirmed
3/17/20,Slovakia,,48.669,19.699,97,confirmed
3/17/20,Panama,,8.538,-80.7821,86,confirmed
3/17/20,South Africa,,-30.5595,22.9375,85,confirmed
3/17/20,Mexico,,23.6345,-102.5528,82,confirmed
3/17/20,Bulgaria,,42.7339,25.4858,81,confirmed
3/17/20,Argentina,,-38.4161,-63.6167,79,confirmed
3/17/20,Taiwan,,23.7,121,77,confirmed
3/17/20,Armenia,,40.0691,45.0382,72,confirmed
3/17/20,Serbia,,44.0165,21.0059,72,confirmed
3/17/20,Croatia,,45.1,15.2,69,confirmed
3/17/20,Vietnam,,16,108,66,confirmed
3/17/20,Colombia,,4.5709,-74.2973,65,confirmed
3/17/20,Algeria,,28.0339,1.6596,61,confirmed
3/17/20,Latvia,,56.8796,24.6032,60,confirmed
3/17/20,Brunei,,4.5353,114.7277,56,confirmed
3/17/20,Albania,,41.1533,20.1683,55,confirmed
3/17/20,Costa Rica,,9.7489,-83.7534,50,confirmed
3/17/20,Hungary,,47.1625,19.5033,50,confirmed
3/17/20,Cyprus,,35.1264,33.4299,49,confirmed
3/17/20,Jordan,,31.24,36.51,48,confirmed
3/17/20,Morocco,,31.7917,-7.0926,44,confirmed
3/17/20,Sri Lanka,,7,81,44,confirmed
3/17/20,occupied Palestinian territory,,,,41,confirmed
3/17/20,Malta,,35.9375,14.3754,38,confirmed
3/17/20,Belarus,,53.7098,27.9534,36,confirmed
3/17/20,Georgia,,42.3154,43.3569,35,confirmed
3/17/20,Bosnia and Herzegovina,,43.9159,17.6791,34,confirmed
3/17/20,Azerbaijan,,40.1431,47.5769,34,confirmed
3/17/20,Cambodia,,11.55,104.9167,33,confirmed
3/17/20,Venezuela,,6.4238,-66.5897,33,confirmed
3/17/20,Kazakhstan,,48.0196,66.9237,33,confirmed
3/17/20,North Macedonia,,41.6086,21.7453,32,confirmed
3/17/20,Moldova,,47.4116,28.3699,29,confirmed
3/17/20,Uruguay,,-32.5228,-55.7658,29,confirmed
3/17/20,Senegal,,14.4974,-14.4524,27,confirmed
3/17/20,Lithuania,,55.1694,23.8813,26,confirmed
3/17/20,Oman,,21,57,24,confirmed
3/17/20,Dominican Republic,,18.7357,-70.1627,21,confirmed
3/17/20,Afghanistan,,33,65,21,confirmed
3/17/20,Tunisia,,34,9,20,confirmed
3/17/20,New Zealand,,-40.9006,174.886,20,confirmed
3/17/20,Burkina Faso,,12.2383,-1.5616,15,confirmed
3/17/20,Jamaica,,18.1096,-77.2975,15,confirmed
3/17/20,Andorra,,42.5063,1.5218,14,confirmed
3/17/20,Ukraine,,48.3794,31.1656,14,confirmed
3/17/20,China,,30.9756,112.2707,13,confirmed
3/17/20,Maldives,,3.2028,73.2207,13,confirmed
3/17/20,Kosovo,,42.6026,20.903,13,confirmed
3/17/20,Bolivia,,-16.2902,-63.5887,12,confirmed
3/17/20,Uzbekistan,,41.3775,64.5853,11,confirmed
3/17/20,Cameroon,,3.848,11.5021,10,confirmed
3/17/20,Monaco,,43.7333,7.4167,9,confirmed
3/17/20,Bangladesh,,23.685,90.3563,8,confirmed
3/17/20,Guatemala,,15.7835,-90.2308,8,confirmed
3/17/20,Paraguay,,-23.4425,-58.4438,8,confirmed
3/17/20,Guyana,,5,-58.75,7,confirmed
3/17/20,Liechtenstein,,47.14,9.55,7,confirmed
3/17/20,Rwanda,,-1.9403,29.8739,7,confirmed
3/17/20,Cyprus,,,,7,confirmed
3/17/20,Ghana,,7.9465,-1.0232,6,confirmed
3/17/20,Honduras,,15.2,-86.2419,6,confirmed
3/17/20,Cuba,,22,-80,5,confirmed
3/17/20,Ethiopia,,9.145,40.4897,5,confirmed
3/17/20,Mongolia,,46.8625,103.8467,5,confirmed
3/17/20,Trinidad and Tobago,,10.6918,-61.2225,5,confirmed
3/17/20,"Cote d'Ivoire",,,,4,confirmed
3/17/20,Kenya,,-0.0236,37.9062,4,confirmed
3/17/20,Seychelles,,-4.6796,55.492,4,confirmed
3/17/20,DR Congo,,,,3,confirmed
3/17/20,Nigeria,,9.082,8.6753,3,confirmed
3/17/20,Barbados,,13.1939,-59.5432,2,confirmed
3/17/20,Liberia,,6.4281,-9.4295,2,confirmed
3/17/20,Montenegro,,42.5,19.3,2,confirmed
3/17/20,Namibia,,-22.9576,18.4904,2,confirmed
3/17/20,Saint Lucia,,13.9094,-60.9789,2,confirmed
3/17/20,Sudan,,12.8628,30.2176,1,confirmed
3/17/20,Antigua and Barbuda,,17.0608,-61.7964,1,confirmed
3/17/20,Benin,,9.3077,2.3158,1,confirmed
3/17/20,Bhutan,,27.5142,90.4336,1,confirmed
3/17/20,The Bahamas,,,,1,confirmed
3/17/20,Central African Republic,,6.6111,20.9394,1,confirmed
3/17/20,Republic of the Congo,,-1.44,15.556,1,confirmed
3/17/20,Equatorial Guinea,,1.5,10,1,confirmed
3/17/20,Eswatini,,-26.5225,31.4659,1,confirmed
3/17/20,Gabon,,-0.8037,11.6094,1,confirmed
3/17/20,Gambia,,,,1,confirmed
3/17/20,Guinea,,9.9456,-9.6966,1,confirmed
3/17/20,Mauritania,,21.0079,10.9408,1,confirmed
3/17/20,Saint Vincent and the Grenadines,,,,1,confirmed
3/17/20,Somalia,,5.1521,46.1996,1,confirmed
3/17/20,Suriname,,3.9193,-56.0278,1,confirmed
3/17/20,Tanzania,,-6.369,34.8888,1,confirmed
3/17/20,Togo,,8.6195,0.8248,1,confirmed
3/17/20,Vatican City,,,,1,confirmed
3/17/20,Nepal,,28.1667,84.25,1,confirmed
3/17/20,"Notes ^ Countries and territories where cases were diagnosed. Nationality and location of original infection may vary. As noted accordingly, the cases of some countries cover several territories and dependencies. ^ Reported confirmed cases. Actual case numbers are probably higher, but impossible to ascertain. ^ ""–"" denotes that no data is currently available for that territory, not that the value is zero. ^ Includes clinically diagnosed cases and deaths from 12 February 2020 and onwards in the province of Hubei. ^ Includes all cases overseas in regions of French Guiana, Guadeloupe, Martinique, Mayotte and Réunion, and in collectivities of French Polynesia, Saint Barthélemy and Saint Martin. ^ Includes all dependencies cases in Guam, Puerto Rico and Virgin Islands, in addition to cases identified on the Grand Princess. ^ While there are more positive cases in Switzerland, the figure reported here is only the number of confirmed cases. ^ Includes all cases in the British Overseas Territories of Gibraltar and the Cayman Islands and the Crown dependencies of Jersey and Guernsey. ^ Includes the counted cases in all four of the constituent countries in the Kingdom of the Netherlands, namely",,,,0,confirmed
3/17/20,China,,30.9756,112.2707,"3,237",death
3/17/20,Italy,,43,12,"2,503",death
3/17/20,Iran,,32,53,988,death
3/17/20,Spain,,40,-4,533,death
3/17/20,Germany,,51,9,26,death
3/17/20,"Korea, South",,,,84,death
3/17/20,France,,46.2276,2.2137,175,death
3/17/20,Switzerland,,46.8182,8.2275,21,death
3/17/20,United Kingdom,,49.3723,-2.3644,60,death
3/17/20,Netherlands,,52.1326,5.2913,43,death
3/17/20,Norway,,60.472,8.4689,3,death
3/17/20,Austria,,47.5162,14.5501,3,death
3/17/20,Belgium,,50.8333,4,10,death
3/17/20,Sweden,,63,16,7,death
3/17/20,Denmark,,56.2639,9.5018,4,death
3/17/20,Japan,,36,138,28,death
3/17/20,Cruise Ship,,,,7,death
3/17/20,Malaysia,,2.5,112.5,2,death
3/17/20,Canada,,49.2827,-123.1207,8,death
3/17/20,Australia,,-33.8688,151.2093,5,death
3/17/20,Portugal,,39.3999,-8.2245,1,death
3/17/20,Qatar,,25.3548,51.1839,0,death
3/17/20,Czechia,,,,0,death
3/17/20,Greece,,39.0742,21.8243,5,death
3/17/20,Brazil,,-14.235,-51.9253,1,death
3/17/20,Israel,,31,35,0,death
3/17/20,Finland,,64,26,0,death
3/17/20,Ireland,,53.1424,-7.6921,2,death
3/17/20,Slovenia,,46.1512,14.9955,1,death
3/17/20,Singapore,,1.2833,103.8333,0,death
3/17/20,Iceland,,64.9631,-19.0208,0,death
3/17/20,Pakistan,,30.3753,69.3451,1,death
3/17/20,Bahrain,,26.0275,50.55,1,death
3/17/20,Poland,,51.9194,19.1451,5,death
3/17/20,Estonia,,58.5953,25.0136,0,death
3/17/20,Romania,,45.9432,24.9668,0,death
3/17/20,Chile,,-35.6751,-71.543,0,death
3/17/20,Egypt,,26,30,6,death
3/17/20,Philippines,,13,122,14,death
3/17/20,Thailand,,15,101,1,death
3/17/20,Indonesia,,-0.7893,113.9213,5,death
3/17/20,Hong Kong,,22.3193,114.1694,4,death
3/17/20,Iraq,,33,44,11,death
3/17/20,India,,21,78,3,death
3/17/20,Luxembourg,,49.8153,6.1296,1,death
3/17/20,Saudi Arabia,,24,45,0,death
3/17/20,Kuwait,,29.5,47.75,0,death
3/17/20,Lebanon,,33.8547,35.8623,4,death
3/17/20,Peru,,-9.19,-75.0152,0,death
3/17/20,San Marino,,43.9424,12.4578,9,death
3/17/20,Russia,,60,90,0,death
3/17/20,Ecuador,,-1.8312,-78.1834,2,death
3/17/20,Turkey,,38.9637,35.2433,1,death
3/17/20,United Arab Emirates,,24,54,0,death
3/17/20,Slovakia,,48.669,19.699,0,death
3/17/20,Panama,,8.538,-80.7821,1,death
3/17/20,South Africa,,-30.5595,22.9375,0,death
3/17/20,Mexico,,23.6345,-102.5528,0,death
3/17/20,Bulgaria,,42.7339,25.4858,2,death
3/17/20,Argentina,,-38.4161,-63.6167,2,death
3/17/20,Taiwan,,23.7,121,1,death
3/17/20,Armenia,,40.0691,45.0382,0,death
3/17/20,Serbia,,44.0165,21.0059,0,death
3/17/20,Croatia,,45.1,15.2,0,death
3/17/20,Vietnam,,16,108,0,death
3/17/20,Colombia,,4.5709,-74.2973,0,death
3/17/20,Algeria,,28.0339,1.6596,5,death
3/17/20,Latvia,,56.8796,24.6032,0,death
3/17/20,Brunei,,4.5353,114.7277,0,death
3/17/20,Albania,,41.1533,20.1683,1,death
3/17/20,Costa Rica,,9.7489,-83.7534,0,death
3/17/20,Hungary,,47.1625,19.5033,1,death
3/17/20,Cyprus,,35.1264,33.4299,0,death
3/17/20,Jordan,,31.24,36.51,0,death
3/17/20,Morocco,,31.7917,-7.0926,2,death
3/17/20,Sri Lanka,,7,81,0,death
3/17/20,occupied Palestinian territory,,,,0,death
3/17/20,Malta,,35.9375,14.3754,0,death
3/17/20,Belarus,,53.7098,27.9534,0,death
3/17/20,Georgia,,42.3154,43.3569,0,death
3/17/20,Bosnia and Herzegovina,,43.9159,17.6791,0,death
3/17/20,Azerbaijan,,40.1431,47.5769,1,death
3/17/20,Cambodia,,11.55,104.9167,0,death
3/17/20,Venezuela,,6.4238,-66.5897,0,death
3/17/20,Kazakhstan,,48.0196,66.9237,0,death
3/17/20,North Macedonia,,41.6086,21.7453,0,death
3/17/20,Moldova,,47.4116,28.3699,0,death
3/17/20,Uruguay,,-32.5228,-55.7658,0,death
3/17/20,Senegal,,14.4974,-14.4524,0,death
3/17/20,Lithuania,,55.1694,23.8813,0,death
3/17/20,Oman,,21,57,0,death
3/17/20,Dominican Republic,,18.7357,-70.1627,1,death
3/17/20,Afghanistan,,33,65,0,death
3/17/20,Tunisia,,34,9,0,death
3/17/20,New Zealand,,-40.9006,174.886,0,death
3/17/20,Burkina Faso,,12.2383,-1.5616,0,death
3/17/20,Jamaica,,18.1096,-77.2975,0,death
3/17/20,Andorra,,42.5063,1.5218,0,death
3/17/20,Ukraine,,48.3794,31.1656,2,death
3/17/20,China,,30.9756,112.2707,0,death
3/17/20,Maldives,,3.2028,73.2207,0,death
3/17/20,Kosovo,,42.6026,20.903,0,death
3/17/20,Bolivia,,-16.2902,-63.5887,0,death
3/17/20,Uzbekistan,,41.3775,64.5853,0,death
3/17/20,Cameroon,,3.848,11.5021,0,death
3/17/20,Monaco,,43.7333,7.4167,0,death
3/17/20,Bangladesh,,23.685,90.3563,0,death
3/17/20,Guatemala,,15.7835,-90.2308,1,death
3/17/20,Paraguay,,-23.4425,-58.4438,0,death
3/17/20,Guyana,,5,-58.75,1,death
3/17/20,Liechtenstein,,47.14,9.55,0,death
3/17/20,Rwanda,,-1.9403,29.8739,0,death
3/17/20,Cyprus,,,,0,death
3/17/20,Ghana,,7.9465,-1.0232,0,death
3/17/20,Honduras,,15.2,-86.2419,0,death
3/17/20,Cuba,,22,-80,0,death
3/17/20,Ethiopia,,9.145,40.4897,0,death
3/17/20,Mongolia,,46.8625,103.8467,0,death
3/17/20,Trinidad and Tobago,,10.6918,-61.2225,0,death
3/17/20,"Cote d'Ivoire",,,,0,death
3/17/20,Kenya,,-0.0236,37.9062,0,death
3/17/20,Seychelles,,-4.6796,55.492,0,death
3/17/20,DR Congo,,,,0,death
3/17/20,Nigeria,,9.082,8.6753,0,death
3/17/20,Barbados,,13.1939,-59.5432,0,death
3/17/20,Liberia,,6.4281,-9.4295,0,death
3/17/20,Montenegro,,42.5,19.3,0,death
3/17/20,Namibia,,-22.9576,18.4904,0,death
3/17/20,Saint Lucia,,13.9094,-60.9789,0,death
3/17/20,Sudan,,12.8628,30.2176,1,death
3/17/20,Antigua and Barbuda,,17.0608,-61.7964,0,death
3/17/20,Benin,,9.3077,2.3158,0,death
3/17/20,Bhutan,,27.5142,90.4336,0,death
3/17/20,The Bahamas,,,,0,death
3/17/20,Central African Republic,,6.6111,20.9394,0,death
3/17/20,Republic of the Congo,,-1.44,15.556,0,death
3/17/20,Equatorial Guinea,,1.5,10,0,death
3/17/20,Eswatini,,-26.5225,31.4659,0,death
3/17/20,Gabon,,-0.8037,11.6094,0,death
3/17/20,Gambia,,,,0,death
3/17/20,Guinea,,9.9456,-9.6966,0,death
3/17/20,Mauritania,,21.0079,10.9408,0,death
3/17/20,Saint Vincent and the Grenadines,,,,0,death
3/17/20,Somalia,,5.1521,46.1996,0,death
3/17/20,Suriname,,3.9193,-56.0278,0,death
3/17/20,Tanzania,,-6.369,34.8888,0,death
3/17/20,Togo,,8.6195,0.8248,0,death
3/17/20,Vatican City,,,,0,death
3/17/20,Nepal,,28.1667,84.25,0,death
3/17/20,"Notes ^ Countries and territories where cases were diagnosed. Nationality and location of original infection may vary. As noted accordingly, the cases of some countries cover several territories and dependencies. ^ Reported confirmed cases. Actual case numbers are probably higher, but impossible to ascertain. ^ ""–"" denotes that no data is currently available for that territory, not that the value is zero. ^ Includes clinically diagnosed cases and deaths from 12 February 2020 and onwards in the province of Hubei. ^ Includes all cases overseas in regions of French Guiana, Guadeloupe, Martinique, Mayotte and Réunion, and in collectivities of French Polynesia, Saint Barthélemy and Saint Martin. ^ Includes all dependencies cases in Guam, Puerto Rico and Virgin Islands, in addition to cases identified on the Grand Princess. ^ While there are more positive cases in Switzerland, the figure reported here is only the number of confirmed cases. ^ Includes all cases in the British Overseas Territories of Gibraltar and the Cayman Islands and the Crown dependencies of Jersey and Guernsey. ^ Includes the counted cases in all four of the constituent countries in the Kingdom of the Netherlands, namely",,,,0,death
3/17/20,China,,30.9756,112.2707,"69,601",recovered
3/17/20,Italy,,43,12,"2,941",recovered
3/17/20,Iran,,32,53,"5,389",recovered
3/17/20,Spain,,40,-4,"1,028",recovered
3/17/20,Germany,,51,9,71,recovered
3/17/20,"Korea, South",,,,"1,540",recovered
3/17/20,France,,46.2276,2.2137,602,recovered
3/17/20,Switzerland,,46.8182,8.2275,4,recovered
3/17/20,United Kingdom,,49.3723,-2.3644,65,recovered
3/17/20,Netherlands,,52.1326,5.2913,–,recovered
3/17/20,Norway,,60.472,8.4689,1,recovered
3/17/20,Austria,,47.5162,14.5501,9,recovered
3/17/20,Belgium,,50.8333,4,14,recovered
3/17/20,Sweden,,63,16,1,recovered
3/17/20,Denmark,,56.2639,9.5018,–,recovered
3/17/20,Japan,,36,138,164,recovered
3/17/20,Cruise Ship,,,,508,recovered
3/17/20,Malaysia,,2.5,112.5,49,recovered
3/17/20,Canada,,49.2827,-123.1207,11,recovered
3/17/20,Australia,,-33.8688,151.2093,27,recovered
3/17/20,Portugal,,39.3999,-8.2245,3,recovered
3/17/20,Qatar,,25.3548,51.1839,4,recovered
3/17/20,Czechia,,,,3,recovered
3/17/20,Greece,,39.0742,21.8243,10,recovered
3/17/20,Brazil,,-14.235,-51.9253,2,recovered
3/17/20,Israel,,31,35,11,recovered
3/17/20,Finland,,64,26,10,recovered
3/17/20,Ireland,,53.1424,-7.6921,5,recovered
3/17/20,Slovenia,,46.1512,14.9955,0,recovered
3/17/20,Singapore,,1.2833,103.8333,114,recovered
3/17/20,Iceland,,64.9631,-19.0208,0,recovered
3/17/20,Pakistan,,30.3753,69.3451,2,recovered
3/17/20,Bahrain,,26.0275,50.55,88,recovered
3/17/20,Poland,,51.9194,19.1451,1,recovered
3/17/20,Estonia,,58.5953,25.0136,1,recovered
3/17/20,Romania,,45.9432,24.9668,19,recovered
3/17/20,Chile,,-35.6751,-71.543,0,recovered
3/17/20,Egypt,,26,30,32,recovered
3/17/20,Philippines,,13,122,4,recovered
3/17/20,Thailand,,15,101,41,recovered
3/17/20,Indonesia,,-0.7893,113.9213,9,recovered
3/17/20,Hong Kong,,22.3193,114.1694,92,recovered
3/17/20,Iraq,,33,44,41,recovered
3/17/20,India,,21,78,14,recovered
3/17/20,Luxembourg,,49.8153,6.1296,0,recovered
3/17/20,Saudi Arabia,,24,45,6,recovered
3/17/20,Kuwait,,29.5,47.75,12,recovered
3/17/20,Lebanon,,33.8547,35.8623,4,recovered
3/17/20,Peru,,-9.19,-75.0152,1,recovered
3/17/20,San Marino,,43.9424,12.4578,4,recovered
3/17/20,Russia,,60,90,5,recovered
3/17/20,Ecuador,,-1.8312,-78.1834,0,recovered
3/17/20,Turkey,,38.9637,35.2433,0,recovered
3/17/20,United Arab Emirates,,24,54,26,recovered
3/17/20,Slovakia,,48.669,19.699,0,recovered
3/17/20,Panama,,8.538,-80.7821,0,recovered
3/17/20,South Africa,,-30.5595,22.9375,0,recovered
3/17/20,Mexico,,23.6345,-102.5528,4,recovered
3/17/20,Bulgaria,,42.7339,25.4858,0,recovered
3/17/20,Argentina,,-38.4161,-63.6167,3,recovered
3/17/20,Taiwan,,23.7,121,22,recovered
3/17/20,Armenia,,40.0691,45.0382,1,recovered
3/17/20,Serbia,,44.0165,21.0059,1,recovered
3/17/20,Croatia,,45.1,15.2,5,recovered
3/17/20,Vietnam,,16,108,16,recovered
3/17/20,Colombia,,4.5709,-74.2973,1,recovered
3/17/20,Algeria,,28.0339,1.6596,10,recovered
3/17/20,Latvia,,56.8796,24.6032,1,recovered
3/17/20,Brunei,,4.5353,114.7277,0,recovered
3/17/20,Albania,,41.1533,20.1683,0,recovered
3/17/20,Costa Rica,,9.7489,-83.7534,0,recovered
3/17/20,Hungary,,47.1625,19.5033,2,recovered
3/17/20,Cyprus,,35.1264,33.4299,0,recovered
3/17/20,Jordan,,31.24,36.51,1,recovered
3/17/20,Morocco,,31.7917,-7.0926,1,recovered
3/17/20,Sri Lanka,,7,81,1,recovered
3/17/20,occupied Palestinian territory,,,,0,recovered
3/17/20,Malta,,35.9375,14.3754,2,recovered
3/17/20,Belarus,,53.7098,27.9534,3,recovered
3/17/20,Georgia,,42.3154,43.3569,1,recovered
3/17/20,Bosnia and Herzegovina,,43.9159,17.6791,2,recovered
3/17/20,Azerbaijan,,40.1431,47.5769,6,recovered
3/17/20,Cambodia,,11.55,104.9167,1,recovered
3/17/20,Venezuela,,6.4238,-66.5897,0,recovered
3/17/20,Kazakhstan,,48.0196,66.9237,0,recovered
3/17/20,North Macedonia,,41.6086,21.7453,1,recovered
3/17/20,Moldova,,47.4116,28.3699,1,recovered
3/17/20,Uruguay,,-32.5228,-55.7658,0,recovered
3/17/20,Senegal,,14.4974,-14.4524,2,recovered
3/17/20,Lithuania,,55.1694,23.8813,1,recovered
3/17/20,Oman,,21,57,9,recovered
3/17/20,Dominican Republic,,18.7357,-70.1627,0,recovered
3/17/20,Afghanistan,,33,65,1,recovered
3/17/20,Tunisia,,34,9,0,recovered
3/17/20,New Zealand,,-40.9006,174.886,0,recovered
3/17/20,Burkina Faso,,12.2383,-1.5616,0,recovered
3/17/20,Jamaica,,18.1096,-77.2975,2,recovered
3/17/20,Andorra,,42.5063,1.5218,0,recovered
3/17/20,Ukraine,,48.3794,31.1656,0,recovered
3/17/20,China,,30.9756,112.2707,10,recovered
3/17/20,Maldives,,3.2028,73.2207,0,recovered
3/17/20,Kosovo,,42.6026,20.903,0,recovered
3/17/20,Bolivia,,-16.2902,-63.5887,0,recovered
3/17/20,Uzbekistan,,41.3775,64.5853,0,recovered
3/17/20,Cameroon,,3.848,11.5021,0,recovered
3/17/20,Monaco,,43.7333,7.4167,0,recovered
3/17/20,Bangladesh,,23.685,90.3563,3,recovered
3/17/20,Guatemala,,15.7835,-90.2308,0,recovered
3/17/20,Paraguay,,-23.4425,-58.4438,0,recovered
3/17/20,Guyana,,5,-58.75,0,recovered
3/17/20,Liechtenstein,,47.14,9.55,0,recovered
3/17/20,Rwanda,,-1.9403,29.8739,0,recovered
3/17/20,Cyprus,,,,0,recovered
3/17/20,Ghana,,7.9465,-1.0232,0,recovered
3/17/20,Honduras,,15.2,-86.2419,0,recovered
3/17/20,Cuba,,22,-80,0,recovered
3/17/20,Ethiopia,,9.145,40.4897,0,recovered
3/17/20,Mongolia,,46.8625,103.8467,0,recovered
3/17/20,Trinidad and Tobago,,10.6918,-61.2225,0,recovered
3/17/20,"Cote d'Ivoire",,,,0,recovered
3/17/20,Kenya,,-0.0236,37.9062,0,recovered
3/17/20,Seychelles,,-4.6796,55.492,0,recovered
3/17/20,DR Congo,,,,0,recovered
3/17/20,Nigeria,,9.082,8.6753,1,recovered
3/17/20,Barbados,,13.1939,-59.5432,0,recovered
3/17/20,Liberia,,6.4281,-9.4295,0,recovered
3/17/20,Montenegro,,42.5,19.3,0,recovered
3/17/20,Namibia,,-22.9576,18.4904,0,recovered
3/17/20,Saint Lucia,,13.9094,-60.9789,0,recovered
3/17/20,Sudan,,12.8628,30.2176,0,recovered
3/17/20,Antigua and Barbuda,,17.0608,-61.7964,0,recovered
3/17/20,Benin,,9.3077,2.3158,0,recovered
3/17/20,Bhutan,,27.5142,90.4336,0,recovered
3/17/20,The Bahamas,,,,0,recovered
3/17/20,Central African Republic,,6.6111,20.9394,0,recovered
3/17/20,Republic of the Congo,,-1.44,15.556,0,recovered
3/17/20,Equatorial Guinea,,1.5,10,0,recovered
3/17/20,Eswatini,,-26.5225,31.4659,0,recovered
3/17/20,Gabon,,-0.8037,11.6094,0,recovered
3/17/20,Gambia,,,,0,recovered
3/17/20,Guinea,,9.9456,-9.6966,0,recovered
3/17/20,Mauritania,,21.0079,10.9408,0,recovered
3/17/20,Saint Vincent and the Grenadines,,,,0,recovered
3/17/20,Somalia,,5.1521,46.1996,0,recovered
3/17/20,Suriname,,3.9193,-56.0278,0,recovered
3/17/20,Tanzania,,-6.369,34.8888,0,recovered
3/17/20,Togo,,8.6195,0.8248,0,recovered
3/17/20,Vatican City,,,,0,recovered
3/17/20,Nepal,,28.1667,84.25,1,recovered
3/17/20,"Notes ^ Countries and territories where cases were diagnosed. Nationality and location of original infection may vary. As noted accordingly, the cases of some countries cover several territories and dependencies. ^ Reported confirmed cases. Actual case numbers are probably higher, but impossible to ascertain. ^ ""–"" denotes that no data is currently available for that territory, not that the value is zero. ^ Includes clinically diagnosed cases and deaths from 12 February 2020 and onwards in the province of Hubei. ^ Includes all cases overseas in regions of French Guiana, Guadeloupe, Martinique, Mayotte and Réunion, and in collectivities of French Polynesia, Saint Barthélemy and Saint Martin. ^ Includes all dependencies cases in Guam, Puerto Rico and Virgin Islands, in addition to cases identified on the Grand Princess. ^ While there are more positive cases in Switzerland, the figure reported here is only the number of confirmed cases. ^ Includes all cases in the British Overseas Territories of Gibraltar and the Cayman Islands and the Crown dependencies of Jersey and Guernsey. ^ Includes the counted cases in all four of the constituent countries in the Kingdom of the Netherlands, namely",,,,0,recovered
3/17/20,US,Alabama,32.3182,-86.9023,39,confirmed
3/17/20,US,Alaska,61.3707,-152.4044,3,confirmed
3/17/20,US,American Samoa,AmericanSamoa,AmericanSamoa,0,confirmed
3/17/20,US,Arizona,33.7298,-111.4312,13,confirmed
3/17/20,US,Arkansas,34.9697,-92.3731,22,confirmed
3/17/20,US,California,36.1162,-119.6816,454,confirmed
3/17/20,US,Colorado,39.0598,-105.3111,160,confirmed
3/17/20,US,Connecticut,41.5978,-72.7554,68,confirmed
3/17/20,US,Delaware,39.3185,-75.5071,8,confirmed
3/17/20,US,District of Columbia,38.8974,-77.0268,22,confirmed
3/17/20,US,Florida,27.7663,-81.6868,173,confirmed
3/17/20,US,Georgia,33.0406,-83.6431,146,confirmed
3/17/20,US,Guam,13.4443,144.7937,3,confirmed
3/17/20,US,Hawaii,21.0943,-157.4983,4,confirmed
3/17/20,US,Idaho,44.2405,-114.4788,5,confirmed
